SMILES,cid
CCCCCCCC[N+](C)(CCCC)CCCCCC,71382090.0
CCCCCCCC[N+](CC)(CC)CCCCCCC,54251353.0
CCCCCCCC[N+](CCC)(CCC)CCCCC,87493236.0
CCCCCCC[N+](C)(CCCCC)CCCCCC,175529073.0
CCCCCCC[N+](CCCC)(CCCC)CCCC,5003685.0
CCCCCC[N+](C)(CCCCCC)CCCCCC,11783458.0
CCCCCC[N+](CCCC)(CCCC)CCCCC,87494935.0
CCCCC[N+](CCCC)(CCCCC)CCCCC,14022644.0
CCCC[N+](CCC(C)C)(CCC(C)C)CCC(C)C,53848608.0
CC(C)(C)C[N+](CC(C)(C)C)(CC(C)(C)C)CC(C)(C)C,87321616.0
CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C,21542.0
CCCCCCCCCCCCCCCCC[N+](C)(C)C,46049.0
CCCCCCCCCCCCCCCC[N+](C)(C)CC,31281.0
CCCCCCCCCCCCCCC[N+](C)(C)CCC,175568559.0
CCCCCCCCCCCCCC[N+](C)(C)CCCC,13075676.0
CCCCCCCCCCCCCC[N+](CC)(CC)CC,28911.0
CCCCCCCCCCCCC[N+](C)(C)CCC(C)C,157493964.0
CCCCCCCCCCCCC[N+](C)(C)CCCCC,160884159.0
CCCCCCCCCCCC[N+](C)(C)CCCC(C)C,157819829.0
CCCCCCCCCCCC[N+](C)(C)CCCCCC,53898943.0
CCCCCCCCCCCC[N+](CC)(CC)CCCC,86108924.0
CCCCCCCCCCCC[N+](CC)(CCC)CCC,54298149.0
CCCCCCCCCCC[N+](C)(C)CCCCC(C)C,160742676.0
CCCCCCCCCCC[N+](C)(C)CCCCCCC,122480849.0
CCCCCCCCCCC[N+](CCC)(CCC)CCC,21869091.0
CCCCCCCCCC[N+](C)(C)CCCCCCCC,61907.0
CCCCCCCCCC[N+](C)(CCC)CCCCCC,139745001.0
CCCCCCCCC[N+](C)(C)CCCCCCCCC,19706495.0
CCCCCCCCC[N+](C)(CC)CCCCCCCC,175528867.0
CCCCCCCC[N+](C)(CCC)CCCCCCCC,52936837.0
CCCCCCCC[N+](CC)(CC)CCCCCCCC,19602104.0
CCCCCCCC[N+](CCC)(CCC)CCCCCC,87492278.0
CCCCCCCC[N+](CCC)(CCCC)CCCCC,18317197.0
CCCCCCCC[N+](CCCC)(CCCC)CCCC,408233.0
CCCCCCC[N+](C)(CCCCCC)CCCCCC,175529579.0
CCCCCCC[N+](CCC)(CCC)CCCCCCC,87534339.0
CCCCC[N+](CCC)(CCCCC)CCCCC(C)C,123559899.0
CCCCC[N+](CCCCC)(CCCCC)CCCCC,17249.0
CCCC[N+](CCCC)(CCCC)CCCCC(C)CC,161051619.0
