Index,Num_c,SMILES,cid,iupac_name,molecular_weight,molecular_formula,complexity,rotatable_bond_count,heavy_atom_count,xlogp,Chloride_CAS,Bromide_CAS,Iodide_CAS,Fluoride_CAS
0061,10,CC[N+](CC)(CC)CC(C)C,13513450.0,triethyl(2-methylpropyl)azanium,158.3,C10H24N+,84.0,5.0,11.0,2.7,,,,
0062,11,CC(C)CCCCC[N+](C)(C)C,54390726.0,trimethyl(6-methylheptyl)azanium,172.33,C11H26N+,100.0,6.0,12.0,3.4,,,,
0063,11,CC(C)CC[N+](C)(C)CC(C)C,168144637.0,dimethyl-(3-methylbutyl)-(2-methylpropyl)azanium,172.33,C11H26N+,114.0,5.0,12.0,3.3,,,,
0064,11,CC(C)C[N+](C)(C)CC(C)(C)C,,,,,,,,,,,,
0065,11,CCC(C)(C)C[N+](C)(CC)CC,,,,,,,,,,,,
0066,11,CCC(C)C(C)(C)C[N+](C)(C)C,148436643.0,"trimethyl(2,2,3-trimethylpentyl)azanium",172.33,C11H26N+,130.0,4.0,12.0,3.3,,,,
0067,11,CCC(C)CCCC[N+](C)(C)C,,,,,,,,,,,,
0068,11,CCC(C)CCC[N+](C)(C)CC,,,,,,,,,,,,
0069,11,CCC(C)CC[N+](C)(CC)CC,155157986.0,diethyl-methyl-(3-methylpentyl)azanium,172.33,,,,,,,,,
0070,11,CCC(C)C[N+](C)(C)CC(C)C,146880729.0,dimethyl-(2-methylbutyl)-(2-methylpropyl)azanium,172.33,C11H26N+,116.0,5.0,12.0,3.3,,,,
0071,11,CCC(C)C[N+](CC)(CC)CC,13426949.0,triethyl(2-methylbutyl)azanium,172.33,C11H26N+,97.0,6.0,12.0,3.1,,,,
0072,11,CCCC(C)(C)C[N+](C)(C)CC,171625777.0,"2,2-dimethylpentyl-ethyl-dimethylazanium",172.33,C11H26N+,125.0,5.0,12.0,3.3,,,,
0073,11,CCCC(C)CCC[N+](C)(C)C,123879569.0,trimethyl(4-methylheptyl)azanium,172.33,C11H26N+,102.0,6.0,12.0,3.4,,,,
0074,11,CCCC(C)CC[N+](C)(C)CC,,,,,,,,,,,,
0075,11,CCCC(C)C[N+](C)(C)CCC,,,,,,,,,,,,
0076,11,CCCC(C)C[N+](C)(CC)CC,,,,,,,,,,,,
0077,11,CCCCC(C)(C)C[N+](C)(C)C,149322603.0,"2,2-dimethylhexyl(trimethyl)azanium",172.33,C11H26N+,119.0,5.0,12.0,3.4,,,,
0078,11,CCCCC(C)CC[N+](C)(C)C,157074067.0,trimethyl(3-methylheptyl)azanium,172.33,C11H26N+,102.0,6.0,12.0,3.6,,,,
0079,11,CCCCC(C)C[N+](C)(C)CC,,,,,,,,,,,,
0080,11,CCCCCC(C)C[N+](C)(C)C,89351182.0,trimethyl(2-methylheptyl)azanium,172.33,C11H26N+,102.0,6.0,12.0,3.6,,,,
0081,11,CCCCCCCC[N+](C)(C)C,24950.0,trimethyl(octyl)azanium,172.33,C11H26N+,91.0,7.0,12.0,4.2,10108-86-8,2083-68-3,,
0082,11,CCCCCCC[N+](C)(C)CC,23088859.0,ethyl-heptyl-dimethylazanium,172.33,C11H26N+,97.0,7.0,12.0,3.5,,,,
0083,11,CCCCCC[N+](C)(C)CCC,23088822.0,hexyl-dimethyl-propylazanium,172.33,C11H26N+,97.0,7.0,12.0,3.5,,,,
0084,11,CCCCCC[N+](C)(CC)CC,11672744.0,diethyl-hexyl-methylazanium,172.33,C11H26N+,95.0,7.0,12.0,3.3,,,,
0085,11,CCCCC[N+](C)(C)CC(C)C,,,,,,,,,,,,
0086,11,CCCCC[N+](C)(C)CCCC,53780101.0,butyl-dimethyl-pentylazanium,172.33,C11H26N+,97.0,7.0,12.0,3.3,,,,
0087,11,CCCCC[N+](C)(CC)CCC,23088854.0,ethyl-methyl-pentyl-propylazanium,172.33,C11H26N+,101.0,7.0,12.0,3.3,,,,
0088,11,CCCCC[N+](CC)(CC)CC,152429.0,triethyl(pentyl)azanium,172.33,C11H26N+,86.0,7.0,12.0,3.2,,,,
0089,11,CCCC[N+](C)(C)CC(C)(C)C,123234305.0,"butyl-(2,2-dimethylpropyl)-dimethylazanium",172.33,C11H26N+,119.0,5.0,12.0,3.3,,,,
0090,11,CCCC[N+](C)(C)CC(C)CC,88981039.0,butyl-dimethyl-(2-methylbutyl)azanium,172.33,C11H26N+,108.0,6.0,12.0,3.2,,,,
0091,11,CCCC[N+](C)(C)CCC(C)C,123373067.0,butyl-dimethyl-(3-methylbutyl)azanium,172.33,C11H26N+,106.0,6.0,12.0,3.2,,,,
0092,11,CCCC[N+](C)(CC)CC(C)C,,,,,,,,,,,,
0093,11,CCCC[N+](C)(CC)CCCC,22487000.0,dibutyl-ethyl-methylazanium,172.33,C11H26N+,91.0,7.0,12.0,3.1,,,,
0094,11,CCCC[N+](C)(CCC)CCC,87509031.0,butyl-methyl-dipropylazanium,172.33,C11H26N+,93.0,7.0,12.0,3.3,,,,
0095,11,CCCC[N+](CC)(CC)CCC,5249160.0,butyl-diethyl-propylazanium,172.33,C11H26N+,95.0,7.0,12.0,3.2,,,,
0096,11,CCC[N+](C)(C)CC(C)(C)CC,,,,,,,,,,,,
0097,11,CCC[N+](C)(C)CCC(C)CC,88872659.0,dimethyl-(3-methylpentyl)-propylazanium,172.33,C11H26N+,108.0,6.0,12.0,3.4,,,,
0098,11,CCC[N+](C)(C)CCCC(C)C,15636633.0,dimethyl-(4-methylpentyl)-propylazanium,172.33,C11H26N+,106.0,6.0,12.0,3.2,,,,
0099,11,CCC[N+](C)(CC)CC(C)(C)C,,,,,,,,,,,,
0100,11,CCC[N+](C)(CC)CC(C)CC,90726542.0,ethyl-methyl-(2-methylbutyl)-propylazanium,172.33,C11H26N+,112.0,6.0,12.0,3.2,,,,
0101,11,CCC[N+](C)(CC)CCC(C)C,177124344.0,ethyl-methyl-(3-methylbutyl)-propylazanium,172.33,,,,,,,,,
0102,11,CCC[N+](C)(CCC)CC(C)C,,,,,,,,,,,,
0103,11,CCC[N+](CC)(CC)CC(C)C,,,,,,,,,,,,
0104,11,CCC[N+](CC)(CCC)CCC,417995.0,ethyl(tripropyl)azanium,172.33,C11H26N+,82.0,7.0,12.0,3.3,58877-74-0,61175-76-6,"679-912-1, 15066-80-5",
0105,11,CC[N+](C)(C)CC(C)(C)C(C)C,,,,,,,,,,,,
0106,11,CC[N+](C)(C)CCCCC(C)C,,,,,,,,,,,,
0107,11,CC[N+](C)(CC(C)C)CC(C)C,85967981.0,ethyl-methyl-bis(2-methylpropyl)azanium,172.33,,,,,,,,,
0108,11,CC[N+](C)(CC)CCCC(C)C,140874558.0,diethyl-methyl-(4-methylpentyl)azanium,172.33,C11H26N+,104.0,6.0,12.0,3.1,,,,
0109,11,CC[N+](CC)(CC)CC(C)(C)C,101571593.0,"2,2-dimethylpropyl(triethyl)azanium",172.33,,,,,,,,,
0110,11,CC[N+](CC)(CC)CCC(C)C,88868799.0,triethyl(3-methylbutyl)azanium,172.33,C11H26N+,95.0,6.0,12.0,3.1,,,,
0111,12,CC(C)(C)C[N+](C)(C)CC(C)(C)C,22385960.0,"bis(2,2-dimethylpropyl)-dimethylazanium",186.36,C12H28N+,137.0,4.0,13.0,3.7,,,,
0112,12,CC(C)CCC[N+](C)(C)CC(C)C,15636639.0,dimethyl-(4-methylpentyl)-(2-methylpropyl)azanium,186.36,C12H28N+,125.0,6.0,13.0,3.7,,,,
0113,12,CC(C)CC[N+](C)(C)CC(C)(C)C,,,,,,,,,,,,
0114,12,CC(C)CC[N+](C)(C)CCC(C)C,58574232.0,dimethyl-bis(3-methylbutyl)azanium,186.36,C12H28N+,111.0,6.0,13.0,3.7,,,,
0115,12,CCC(C)(C)C[N+](C)(C)CC(C)C,,,,,,,,,,,,
0116,12,CCC(C)(C)C[N+](CC)(CC)CC,141911261.0,"2,2-dimethylbutyl(triethyl)azanium",186.36,C12H28N+,126.0,6.0,13.0,3.5,,,,
0117,12,CCC(C)C(C)(C)C[N+](C)(C)CC,,,,,,,,,,,,
0118,12,CCC(C)CCCC[N+](C)(C)CC,,,,,,,,,,,,
0119,12,CCC(C)CCC[N+](C)(CC)CC,,,,,,,,,,,,
0120,12,CCC(C)CC[N+](C)(C)CC(C)C,,,,,,,,,,,,
0121,12,CCC(C)CC[N+](CC)(CC)CC,124171270.0,triethyl(3-methylpentyl)azanium,186.36,C12H28N+,108.0,7.0,13.0,3.6,,,,
0122,12,CCC(C)C[N+](C)(C)CC(C)(C)C,123931432.0,"2,2-dimethylpropyl-dimethyl-(2-methylbutyl)azanium",186.36,C12H28N+,142.0,5.0,13.0,3.7,,,,
0123,12,CCC(C)C[N+](C)(C)CC(C)CC,53930784.0,dimethyl-bis(2-methylbutyl)azanium,186.36,C12H28N+,115.0,6.0,13.0,3.7,,,,
0124,12,CCC(C)C[N+](C)(C)CCC(C)C,,,,,,,,,,,,
0125,12,CCC(C)C[N+](C)(CC)CC(C)C,,,,,,,,,,,,
0126,12,CCCC(C)(C)C[N+](C)(C)CCC,,,,,,,,,,,,
0127,12,CCCC(C)(C)C[N+](C)(CC)CC,,,,,,,,,,,,
0128,12,CCCC(C)CCC[N+](C)(C)CC,,,,,,,,,,,,
0129,12,CCCC(C)CC[N+](C)(C)CCC,,,,,,,,,,,,
0130,12,CCCC(C)CC[N+](C)(CC)CC,,,,,,,,,,,,
0131,12,CCCC(C)C[N+](C)(C)CC(C)C,,,,,,,,,,,,
0132,12,CCCC(C)C[N+](C)(CC)CCC,,,,,,,,,,,,
0133,12,CCCC(C)C[N+](CC)(CC)CC,,,,,,,,,,,,
0134,12,CCCCC(C)(C)C[N+](C)(C)CC,,,,,,,,,,,,
0135,12,CCCCC(C)CC[N+](C)(C)CC,123299227.0,ethyl-dimethyl-(3-methylheptyl)azanium,186.36,C12H28N+,118.0,7.0,13.0,4.0,,,,
0136,12,CCCCC(C)C[N+](C)(C)CCC,,,,,,,,,,,,
0137,12,CCCCC(C)C[N+](C)(CC)CC,,,,,,,,,,,,
0138,12,CCCCCC(C)C[N+](C)(C)CC,,,,,,,,,,,,
0139,12,CCCCCCCCC[N+](C)(C)C,37620.0,trimethyl(nonyl)azanium,186.36,C12H28N+,102.0,8.0,13.0,5.0,58828-83-4,1943-11-9,37074-52-5,
0140,12,CCCCCCCC[N+](C)(C)CC,57314278.0,ethyl-dimethyl-octylazanium,186.36,C12H28N+,108.0,8.0,13.0,4.1,,,,
0141,12,CCCCCCC[N+](C)(C)CCC,23088846.0,heptyl-dimethyl-propylazanium,186.36,C12H28N+,108.0,8.0,13.0,4.0,,,,
0142,12,CCCCCCC[N+](C)(CC)CC,23088836.0,diethyl-heptyl-methylazanium,186.36,C12H28N+,106.0,8.0,13.0,3.9,,,,
0143,12,CCCCCC[N+](C)(C)CC(C)C,148222309.0,hexyl-dimethyl-(2-methylpropyl)azanium,186.36,C12H28N+,116.0,7.0,13.0,3.9,,,,
0144,12,CCCCCC[N+](C)(C)CCCC,23088839.0,butyl-hexyl-dimethylazanium,186.36,C12H28N+,108.0,8.0,13.0,3.9,,157986-16-8,,
0145,12,CCCCCC[N+](C)(CC)CCC,87446870.0,ethyl-hexyl-methyl-propylazanium,186.36,C12H28N+,112.0,8.0,13.0,3.9,,,,
0146,12,CCCCCC[N+](CC)(CC)CC,193021.0,triethyl(hexyl)azanium,186.36,,,,,,,"627-293-3, 13028-71-2",,
0147,12,CCCCC[N+](C)(C)CC(C)(C)C,,,,,,,,,,,,
0148,12,CCCCC[N+](C)(C)CC(C)CC,,,,,,,,,,,,
0149,12,CCCCC[N+](C)(C)CCC(C)C,159915855.0,dimethyl-(3-methylbutyl)-pentylazanium,186.36,C12H28N+,116.0,7.0,13.0,3.8,,,,
0150,12,CCCCC[N+](C)(C)CCCCC,11149782.0,dimethyl(dipentyl)azanium,186.36,C12H28N+,95.0,8.0,13.0,3.9,,700380-89-8,,
0151,12,CCCCC[N+](C)(CC)CC(C)C,,,,,,,,,,,,
0152,12,CCCCC[N+](C)(CC)CCCC,87508333.0,butyl-ethyl-methyl-pentylazanium,186.36,C12H28N+,112.0,8.0,13.0,3.7,,,,
0153,12,CCCCC[N+](C)(CCC)CCC,23088840.0,methyl-pentyl-dipropylazanium,186.36,,,,,,,,,
0154,12,CCCCC[N+](CC)(CC)CCC,23088853.0,diethyl-pentyl-propylazanium,186.36,C12H28N+,106.0,8.0,13.0,3.7,,,,
0155,12,CCCC[N+](C)(C)CC(C)(C)CC,,,,,,,,,,,,
0156,12,CCCC[N+](C)(C)CC(C)CCC,,,,,,,,,,,,
0157,12,CCCC[N+](C)(C)CCC(C)CC,,,,,,,,,,,,
0158,12,CCCC[N+](C)(C)CCCC(C)C,15636637.0,butyl-dimethyl-(4-methylpentyl)azanium,186.36,C12H28N+,116.0,7.0,13.0,3.6,,,,
0159,12,CCCC[N+](C)(CC)CC(C)(C)C,,,,,,,,,,,,
0160,12,CCCC[N+](C)(CC)CC(C)CC,,,,,,,,,,,,
0161,12,CCCC[N+](C)(CC)CCC(C)C,,,,,,,,,,,,
0162,12,CCCC[N+](C)(CCC)CC(C)C,20341239.0,butyl-methyl-(2-methylpropyl)-propylazanium,186.36,C12H28N+,120.0,7.0,13.0,3.8,,,,
0163,12,CCCC[N+](C)(CCC)CCCC,87508941.0,dibutyl-methyl-propylazanium,186.36,C12H28N+,102.0,8.0,13.0,3.7,,,,
0164,12,CCCC[N+](CC)(CC)CC(C)C,,,,,,,,,,,,
0165,12,CCCC[N+](CC)(CC)CCCC,45730.0,dibutyl(diethyl)azanium,186.36,C12H28N+,95.0,8.0,13.0,3.5,,289885-08-1,861885-80-5,
0166,12,CCCC[N+](CC)(CCC)CCC,87824094.0,butyl-ethyl-dipropylazanium,186.36,C12H28N+,104.0,8.0,13.0,3.7,,,,
0167,12,CCC[N+](C)(C)CC(C)(C)C(C)C,,,,,,,,,,,,
0168,12,CCC[N+](C)(C)CCCC(C)CC,,,,,,,,,,,,
0169,12,CCC[N+](C)(C)CCCCC(C)C,157100785.0,dimethyl-(5-methylhexyl)-propylazanium,186.36,,,,,,,,,
0170,12,CCC[N+](C)(CC(C)C)CC(C)C,,,,,,,,,,,,
0171,12,CCC[N+](C)(CC)CC(C)(C)CC,,,,,,,,,,,,
0172,12,CCC[N+](C)(CC)CCC(C)CC,,,,,,,,,,,,
0173,12,CCC[N+](C)(CC)CCCC(C)C,,,,,,,,,,,,
0174,12,CCC[N+](C)(CCC)CC(C)(C)C,,,,,,,,,,,,
0175,12,CCC[N+](C)(CCC)CC(C)CC,139247008.0,methyl-(2-methylbutyl)-dipropylazanium,186.36,C12H28N+,114.0,7.0,13.0,3.8,,,,
0176,12,CCC[N+](C)(CCC)CCC(C)C,,,,,,,,,,,,
0177,12,CCC[N+](CC)(CC)CC(C)(C)C,,,,,,,,,,,,
0178,12,CCC[N+](CC)(CC)CC(C)CC,,,,,,,,,,,,
0179,12,CCC[N+](CC)(CC)CCC(C)C,177124330.0,diethyl-(3-methylbutyl)-propylazanium,186.36,C12H28N+,114.0,7.0,13.0,3.6,,,,
0180,12,CCC[N+](CC)(CCC)CC(C)C,87478720.0,ethyl-(2-methylpropyl)-dipropylazanium,186.36,C12H28N+,112.0,7.0,13.0,3.8,,,,
0181,12,CCC[N+](CCC)(CCC)CCC,9559.0,tetrapropylazanium,186.36,C12H28N+,80.0,8.0,13.0,3.9,"227-375-5, 5810-42-4","217-727-6, 1941-30-6","631-40-3, 211-157-1",7217-93-8
0182,12,CC[N+](C)(C)CCCCCC(C)C,,,,,,,,,,,,
0183,12,CC[N+](C)(CC(C)C)CC(C)(C)C,,,,,,,,,,,,
0184,12,CC[N+](C)(CC)CC(C)(C)C(C)C,,,,,,,,,,,,
0185,12,CC[N+](C)(CC)CCCCC(C)C,,,,,,,,,,,,
0186,12,CC[N+](C)(CCC(C)C)CC(C)C,,,,,,,,,,,,
0187,12,CC[N+](CC)(CC(C)C)CC(C)C,117974218.0,diethyl-bis(2-methylpropyl)azanium,186.36,,,,,,,,,
0188,12,CC[N+](CC)(CC)CCCC(C)C,122449059.0,triethyl(4-methylpentyl)azanium,186.36,C12H28N+,106.0,7.0,13.0,3.4,,,,
0189,13,CC(C)CCCC[N+](C)(C)CC(C)C,,,,,,,,,,,,
0190,13,CC(C)CCC[N+](C)(C)CC(C)(C)C,,,,,,,,,,,,
0191,13,CC(C)CCC[N+](C)(C)CCC(C)C,15636643.0,dimethyl-(3-methylbutyl)-(4-methylpentyl)azanium,200.38,C13H30N+,136.0,7.0,14.0,4.0,,,,
0192,13,CC(C)C[N+](C)(C)CC(C)(C)C(C)C,,,,,,,,,,,,
0193,13,CC(C)C[N+](C)(CC(C)C)CC(C)C,11187184.0,methyl-tris(2-methylpropyl)azanium,200.38,C13H30N+,121.0,6.0,14.0,4.3,123617-55-0,,,
0194,13,CCC(C)(C)C[N+](C)(C)CC(C)(C)C,,,,,,,,,,,,
0195,13,CCC(C)(C)C[N+](C)(C)CCC(C)C,,,,,,,,,,,,
0196,13,CCC(C)(C)C[N+](C)(CC)CC(C)C,,,,,,,,,,,,
0197,13,CCC(C)C(C)(C)C[N+](C)(CC)CC,,,,,,,,,,,,
0198,13,CCC(C)CCCC[N+](C)(CC)CC,,,,,,,,,,,,
0199,13,CCC(C)CCC[N+](C)(C)CC(C)C,,,,,,,,,,,,
0200,13,CCC(C)CCC[N+](CC)(CC)CC,,,,,,,,,,,,
0201,13,CCC(C)CC[N+](C)(C)CC(C)(C)C,,,,,,,,,,,,
