Index,Num_c,SMILES,cid
3542,19,CCCCCCCCCC[N+](CCC)(CCC)CCC,18778973.0
3550,19,CCCCCCCCC[N+](C)(C)CCCCCCCC,85623243.0
3597,19,CCCCCCCC[N+](C)(CC)CCCCCCCC,54567820.0
3614,19,CCCCCCCC[N+](C)(CCCC)CCCCCC,71382090.0
3628,19,CCCCCCCC[N+](CC)(CC)CCCCCCC,54251353.0
3644,19,CCCCCCCC[N+](CCC)(CCC)CCCCC,87493236.0
3683,19,CCCCCCC[N+](C)(CCCCC)CCCCCC,175529073.0
3738,19,CCCCCCC[N+](CCCC)(CCCC)CCCC,5003685.0
3791,19,CCCCCC[N+](C)(CCCCCC)CCCCCC,11783458.0
3866,19,CCCCCC[N+](CCCC)(CCCC)CCCCC,87494935.0
4024,19,CCCCC[N+](CCCC)(CCCCC)CCCCC,14022644.0
4109,19,CCCC[N+](CCC(C)C)(CCC(C)C)CCC(C)C,53848608.0
4267,20,CC(C)(C)C[N+](CC(C)(C)C)(CC(C)(C)C)CC(C)(C)C,87321616.0
4291,20,CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C,21542.0
5012,20,CCCCCCCCCCCCCCCCC[N+](C)(C)C,46049.0
5013,20,CCCCCCCCCCCCCCCC[N+](C)(C)CC,31281.0
5014,20,CCCCCCCCCCCCCCC[N+](C)(C)CCC,175568559.0
5017,20,CCCCCCCCCCCCCC[N+](C)(C)CCCC,13075676.0
5019,20,CCCCCCCCCCCCCC[N+](CC)(CC)CC,28911.0
5022,20,CCCCCCCCCCCCC[N+](C)(C)CCC(C)C,157493964.0
5023,20,CCCCCCCCCCCCC[N+](C)(C)CCCCC,160884159.0
5031,20,CCCCCCCCCCCC[N+](C)(C)CCCC(C)C,157819829.0
5032,20,CCCCCCCCCCCC[N+](C)(C)CCCCCC,53898943.0
5040,20,CCCCCCCCCCCC[N+](CC)(CC)CCCC,86108924.0
5041,20,CCCCCCCCCCCC[N+](CC)(CCC)CCC,54298149.0
5047,20,CCCCCCCCCCC[N+](C)(C)CCCCC(C)C,160742676.0
5048,20,CCCCCCCCCCC[N+](C)(C)CCCCCCC,122480849.0
5067,20,CCCCCCCCCCC[N+](CCC)(CCC)CCC,21869091.0
5075,20,CCCCCCCCCC[N+](C)(C)CCCCCCCC,61907.0
5090,20,CCCCCCCCCC[N+](C)(CCC)CCCCCC,139745001.0
5110,20,CCCCCCCCC[N+](C)(C)CCCCCCCCC,19706495.0
5123,20,CCCCCCCCC[N+](C)(CC)CCCCCCCC,175528867.0
5193,20,CCCCCCCC[N+](C)(CCC)CCCCCCCC,52936837.0
5228,20,CCCCCCCC[N+](CC)(CC)CCCCCCCC,19602104.0
5258,20,CCCCCCCC[N+](CCC)(CCC)CCCCCC,87492278.0
5262,20,CCCCCCCC[N+](CCC)(CCCC)CCCCC,18317197.0
5266,20,CCCCCCCC[N+](CCCC)(CCCC)CCCC,408233.0
5320,20,CCCCCCC[N+](C)(CCCCCC)CCCCCC,175529579.0
5383,20,CCCCCCC[N+](CCC)(CCC)CCCCCCC,87534339.0
5519,20,CCCCCC[N+](CC)(CCCCCC)CCCCCC,14022641.0
5578,20,CCCCCC[N+](CCCC)(CCCC)CCCCCC,87534272.0
5749,20,CCCCC[N+](CCC)(CCCCC)CCCCC(C)C,123559899.0
5797,20,CCCCC[N+](CCCCC)(CCCCC)CCCCC,17249.0
5955,20,CCCC[N+](CCCC)(CCCC)CCCCC(C)CC,161051619.0
